G-005	ゼロショット／ワンショット		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事9本の関連用語に登場（例: プロンプトエンジニアリング）
G-006	モーダル		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事2本の関連用語に登場（例: オブジェクト指向ユーザーインターフェース（OOUI））
G-007	モードレス		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事2本の関連用語に登場（例: オブジェクト指向ユーザーインターフェース（OOUI））
G-008	黄金比		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事2本の関連用語に登場（例: 自己相似性）
G-009	API戦略		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: プロプライエタリ・テクノロジー）
G-010	Chain-of-Thoughtプロンプティング		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: プロンプト）
G-011	Few-shotプロンプティング		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: プロンプト）
G-012	GUI		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: オブジェクト指向ユーザーインターフェース（OOUI））
G-013	IaC		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: プロビジョニング）
G-014	OOUX		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: オブジェクト指向ユーザーインターフェース（OOUI））
G-015	SQLインジェクション	SQL Injection	関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: プロンプトインジェクション）
G-016	Sales Engineer		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: FDE（Forward Deployed Engineer））
G-017	Server-Sent Events	SSE	関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: ストリーミングレスポンス）
G-018	Solutions Architect		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: FDE（Forward Deployed Engineer））
G-019	TTFB	Time To First Byte	関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: ストリーミングレスポンス）
G-020	WebSocket		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: ストリーミングレスポンス）
G-021	アクティブラーニング	Active Learning	関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: ヒューマン・イン・ザ・ループ）
G-022	エコシステム戦略		関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: プロプライエタリ・テクノロジー）
G-023	エッジAI	Edge AI	関連用語ギャップから自動抽出	関連用語抽出	2026-07-19	FALSE	提案中				公開記事1本の関連用語に登場（例: モデル蒸留）
